Source     RACODE         MJDate    J2000RA    J2000Dec    ObsFreq  Pol      FLUX    FLUXERR
1239+376   RK08KG    57008.45204  190.54087    37.33491    1.66800  RCP      1.02       0.02
1044+719   RK16KT    57792.32879  162.11508    71.72665    1.66800  LCP      1.31       0.01
1044+719   RK16KT    57792.32879  162.11508    71.72665    1.66800  RCP      1.61       0.02
2251+158   RK16ES    57721.91091  343.49063    16.14821    1.66800  LCP     12.82       0.02
2251+158   RK16ES    57721.91091  343.49063    16.14821    1.66800  RCP     15.66       0.04
1101+384   RK08KZ    57015.15620  166.11379    38.20883    1.66800  LCP      0.74       0.01
1101+384   RK08KZ    57015.15620  166.11379    38.20883    1.66800  RCP      0.90       0.01
1222+216   RK16KH    57785.30200  186.22691    21.37955    1.66800  LCP      1.98       0.13
1222+216   RK16KH    57785.30200  186.22691    21.37955    1.66800  RCP      2.88       0.06
1954+513   RK08FF    56967.07572  298.92807    51.53015    1.66800  LCP      1.50       0.01
1954+513   RK08FF    56967.07572  298.92807    51.53015    1.66800  RCP      1.83       0.01
1803+784   RK18EA    58066.58521  270.19033    78.46778    1.66800  LCP      1.61       0.03
1803+784   RK18EA    58066.58521  270.19033    78.46778    1.66800  RCP      2.12       0.02
0727-115   RK16OW    57853.78542  112.57962   -11.68683    1.66800  LCP      3.20       0.16
0727-115   RK16OW    57853.78542  112.57962   -11.68683    1.66800  RCP      3.37       0.27
0229+7743  RE03CS    56189.39912   37.31130    77.72114    1.66000  LCP      1.96       0.03
0229+7743  RE03CS    56189.39912   37.31130    77.72114    1.66000  RCP      2.18       0.02
1357+769   RK18QQ    58214.12083  209.48071    76.72251    1.66800  LCP      0.08       0.01
1357+769   RK18QQ    58214.12083  209.48071    76.72251    1.66800  RCP      0.11       0.01
0552+398   RK01EB    56568.32315   88.87835    39.81366    1.66800  LCP      1.93       0.01
0552+398   RK01EB    56568.32315   88.87835    39.81366    1.66800  RCP      2.29       0.01
0925+504   RK18ER    58075.08030  142.31433    50.22666    1.66800  LCP      0.25       0.02
0925+504   RK18ER    58075.08030  142.31433    50.22666    1.66800  RCP      0.27       0.02
1144+402   RK18QN    58212.99600  176.74290    39.97620    1.66800  LCP      0.75       0.02
1144+402   RK18QN    58212.99600  176.74290    39.97620    1.66800  RCP      0.85       0.02
1044+719   RK16DC    57708.58197  162.11508    71.72665    1.66800  LCP      1.13       0.02
1044+719   RK16DC    57708.58197  162.11508    71.72665    1.66800  RCP      1.29       0.04
0823+033   RK08FJ    56970.37171  126.45975     3.15681    1.66800  LCP      0.69       0.01
0823+033   RK08FJ    56970.37171  126.45975     3.15681    1.66800  RCP      0.81       0.02
1308+326   RE03JP    56308.41211  197.61943    32.34549    1.66800  LCP      1.28       0.01
1308+326   RE03JP    56308.41211  197.61943    32.34549    1.66800  RCP      1.46       0.02
2251+158   RK18FD    58081.90442  343.49063    16.14821    1.66800  LCP     12.51       0.03
2251+158   RK18FD    58081.90442  343.49063    16.14821    1.66800  RCP     15.28       0.05
0955+476   RE03RL    56403.82495  149.58196    47.41884    1.66800  LCP      0.59       0.05
0955+476   RE03RL    56403.82495  149.58196    47.41884    1.66800  RCP      0.69       0.10
2251+158   RK01CM    56557.98444  343.49061    16.14821    1.66800  LCP     10.34       0.02
2251+158   RK01CM    56557.98444  343.49061    16.14821    1.66800  RCP     13.60       0.02
