Source     RACODE         MJDate    J2000RA    J2000Dec    ObsFreq  Pol      FLUX    FLUXERR
0836+710   RE03EQ    56223.42788  130.35154    70.89505   22.22800  LCP      2.38       0.02
0836+710   RE03EQ    56223.42788  130.35154    70.89505   22.22800  RCP      2.40       0.02
0607-157   RK16GE    57735.07975   92.42063   -15.71130   22.23600  LCP      2.10       0.02
0607-157   RK16GE    57735.07975   92.42063   -15.71130   22.23600  RCP      2.12       0.02
0829+046   RK18OR    58186.03496  127.95367     4.49419   22.23600  LCP      1.03       0.01
0829+046   RK18OR    58186.03496  127.95367     4.49419   22.23600  RCP      1.08       0.01
2200+420   RK18AI    57955.41603  330.68038    42.27777   22.23600  LCP      2.60       0.02
2200+420   RK18AI    57955.41603  330.68038    42.27777   22.23600  RCP      2.67       0.02
0530+1331  RE03DT    56206.32301   82.73507    13.53199   22.22800  LCP      2.32       0.02
0530+1331  RE03DT    56206.32301   82.73507    13.53199   22.22800  RCP      2.35       0.01
1749+096   RG11AN    57130.33572  267.88674     9.65020   22.22800  LCP      4.44       0.01
1749+096   RG11AN    57130.33572  267.88674     9.65020   22.22800  RCP      4.51       0.02
0851+202   RK16GA    57733.12594  133.70362    20.10851   22.23600  LCP      5.63       0.15
0851+202   RK16GA    57733.12594  133.70362    20.10851   22.23600  RCP      5.85       0.17
0528+134   RE03KT    56325.98502   82.73507    13.53199   22.23600  LCP      1.83       0.01
0528+134   RE03KT    56325.98502   82.73507    13.53199   22.23600  RCP      1.87       0.01
0716+714   RG18F     57437.15127  110.47271    71.34343   22.17200  LCP      1.73       0.01
0716+714   RG18F     57437.15127  110.47271    71.34343   22.17200  RCP      1.79       0.01
1253-055   RK18ME    58156.24552  194.04654    -5.78931   22.23600  LCP     10.36       0.04
1253-055   RK18ME    58156.24552  194.04654    -5.78931   22.23600  RCP     10.70       0.05
2029+121   RG11AT    57139.36045  307.97913    12.32815   22.22800  LCP      0.91       0.01
2029+121   RG11AT    57139.36045  307.97913    12.32815   22.22800  RCP      0.89       0.01
1226+023   RK01RQ    56681.29887  187.27791     2.05239   22.23600  LCP     10.43       0.02
1226+023   RK01RQ    56681.29887  187.27791     2.05239   22.23600  RCP     10.74       0.03
0420-014   RK08BA    56918.20160   65.81583    -1.34252   22.23600  LCP      1.32       0.03
0420-014   RK08BA    56918.20160   65.81583    -1.34252   22.23600  RCP      1.33       0.06
0954+658   RK08QH    57067.84009  149.69685    65.56523   22.23600  LCP      1.49       0.01
0954+658   RK08QH    57067.84009  149.69685    65.56523   22.23600  RCP      1.43       0.02
2251+158   RK16AZ    57673.03465  343.49063    16.14821   22.23600  LCP     20.19       0.06
2251+158   RK16AZ    57673.03465  343.49063    16.14821   22.23600  RCP     21.00       0.06
0420-014   RK08AX    56916.36743   65.81583    -1.34252   22.23600  LCP      2.11       0.02
0420-014   RK08AX    56916.36743   65.81583    -1.34252   22.23600  RCP      2.18       0.02
0529+483   RE03HM    56271.03124   83.31610    48.38134   22.23600  LCP      1.23       0.04
0529+483   RE03HM    56271.03124   83.31610    48.38134   22.23600  RCP      1.19       0.04
1642+690   RE03PJ    56377.36447  250.53270    68.94438   22.23600  LCP      1.76       0.01
1642+690   RE03PJ    56377.36447  250.53270    68.94438   22.23600  RCP      1.88       0.01
1150+497   RG18B     57378.32495  178.35196    49.51912   22.20400  LCP      0.60       0.03
1150+497   RG18B     57378.32495  178.35196    49.51912   22.20400  RCP      0.57       0.02
0234+285   RE03HT    56276.01866   39.46835    28.80250   22.23600  LCP      3.41       0.01
0234+285   RE03HT    56276.01866   39.46835    28.80250   22.23600  RCP      3.51       0.01
0836+710   RE03PK    56377.46941  130.35152    70.89505   22.23600  LCP      1.10       0.01
0836+710   RE03PK    56377.46941  130.35152    70.89505   22.23600  RCP      1.13       0.01
1502+106   RK12SX    57475.24274  226.10408    10.49422   22.23600  LCP      1.94       0.09
1502+106   RK12SX    57475.24274  226.10408    10.49422   22.23600  RCP      1.74       0.12
0851+202   RK12JM    57376.07572  133.70362    20.10851   22.23600  LCP      2.01       0.03
0851+202   RK12JM    57376.07572  133.70362    20.10851   22.23600  RCP      2.15       0.02
0716+714   RK12DB    57307.23914  110.47271    71.34343   22.23600  LCP      2.46       0.06
0716+714   RK12DB    57307.23914  110.47271    71.34343   22.23600  RCP      2.47       0.05
0851+202   RK12UN    57491.95051  133.70362    20.10851   22.23600  LCP      4.24       0.01
0851+202   RK12UN    57491.95051  133.70362    20.10851   22.23600  RCP      4.32       0.01
0234+285   RE03GR    56260.05719   39.46835    28.80250   22.22800  LCP      3.65       0.02
0234+285   RE03GR    56260.05719   39.46835    28.80250   22.22800  RCP      3.80       0.05
0235+164   RK18LO    58148.90681   39.66221    16.61646   22.23600  LCP      1.20       0.01
0235+164   RK18LO    58148.90681   39.66221    16.61646   22.23600  RCP      1.26       0.01
1637+574   RE03NB    56351.32285  249.55607    57.33999   22.23600  LCP      0.80       0.01
1637+574   RE03NB    56351.32285  249.55607    57.33999   22.23600  RCP      0.85       0.01
0808+019   RK01ZL    56764.87142  122.86129     1.78117   22.23600  LCP      0.57       0.01
0808+019   RK01ZL    56764.87142  122.86129     1.78117   22.23600  RCP      0.58       0.01
1823+568   RK08BH    56923.15821  276.02946    56.85041   22.23600  LCP      1.84       0.05
1823+568   RK08BH    56923.15821  276.02946    56.85041   22.23600  RCP      1.80       0.07
0136+4751  RE03CQ    56189.19806   24.24414    47.85808   22.22800  LCP      2.27       0.02
0136+4751  RE03CQ    56189.19806   24.24414    47.85808   22.22800  RCP      2.35       0.01
0446+112   RK08CE    56935.31162   72.28196    11.35794   22.23600  LCP      1.23       0.01
0446+112   RK08CE    56935.31162   72.28196    11.35794   22.23600  RCP      1.24       0.01
0648-165   RK18JB    58126.03785  102.60242   -16.62770   22.23600  LCP      0.98       0.03
0648-165   RK18JB    58126.03785  102.60242   -16.62770   22.23600  RCP      0.94       0.03
0237+2848  RE03GN    56259.05484   39.46836    28.80250   22.22800  LCP      3.60       0.01
0237+2848  RE03GN    56259.05484   39.46836    28.80250   22.22800  RCP      3.70       0.01
1611+343   RE03LS    56334.40721  243.42110    34.21331   22.23600  LCP      2.67       0.02
1611+343   RE03LS    56334.40721  243.42110    34.21331   22.23600  RCP      2.63       0.04
0716+714   RK12CR    57301.40934  110.47271    71.34343   22.23600  LCP      2.25       0.01
